,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
1,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
2,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
3,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
4,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
5,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
6,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
7,[],[],[],[],[],[],[],"[(-2.149593, -2.1069322)]","[(-2.2301936, -1.8917751)]","[(-2.9637246, -0.7918055)]",[],[],[],[],[],[],[],[],[],[]
8,[],[],[],[],[],[],"[(-1.9456338, -3.3480566)]","[(-1.0524745, -2.3029773)]","[(-1.0120717, -1.3042527)]","[(-1.1197534, -0.8897438)]","[(-1.021635, 0.30648264)]","[(-1.3465627, 1.3000206)]",[],[],[],[],[],[],[],[]
9,[],[],[],[],[],[],[],"[(-0.9677152, -2.4295623)]","[(-0.13045162, -1.0172093)]","[(-0.028435802, -0.59769535)]","[(-0.17882003, 0.9245323)]","[(-0.13522078, 1.0070026)]","[(-0.16533723, 2.0013201)]",[],[],[],[],[],[],[]
10,[],[],[],[],[],[],[],[],"[(0.49393287, -1.556969)]","[(0.090894535, -0.10696367)]","[(0.077035055, 0.0045214714)]","[(0.1944609, 1.2243031)]","[(0.20534849, 2.0850933)]",[],[],[],[],[],[],[]
11,[],[],[],[],[],[],[],"[(1.4105, -2.0053935)]","[(1.4111019, -1.9220204)]","[(1.3908597, -0.14803688)]","[(1.0591186, 0.944608)]","[(1.5652719, 1.0635196)]",[],[],[],[],[],[],[],[]
12,[],[],[],[],[],[],[],[],[],"[(2.0459998, -0.17066766)]","[(2.0140812, 0.070241466)]",[],[],[],[],[],[],[],[],[]
13,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
14,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
15,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
16,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
17,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
18,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
19,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
