,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,,,,,,,,,,,"(0.7820844650268555,)","(0.8842054261101617,)",,,"(0.9258643256293403,)",,,,,
1,,,,"(0.464229244656033,)","(0.519391377766927,)","(0.6719050089518229,)",,,"(0.7231850941975911,)",,,,,,,,,,,
2,,,,"(0.40126584370930984,)",,,"(0.46485972934299047,)",,"(0.27039337158203125,)",,"(0.7950884501139323,)","(0.3180713229709201,)",,,,,,"(0.5903935750325521,)",,
3,,,,,"(0.17634667290581596,)","(0.5733240339491102,)",,,,,,"(0.8756406148274739,)",,,"(0.714540629916721,)",,,,,"(0.9148904376559788,)"
4,,,,,,"(0.20487908257378473,)","(0.38801464504665795,)","(0.44041527642144096,)","(0.3010995652940538,)","(0.9494269847869873,)","(0.0894991556803385,)",,,,,"(0.5767303466796875,)",,,,
5,"(0.37332899305555556,)","(0.5798991309271918,)","(0.43991211785210504,)",,,"(0.8134002473619248,)","(0.1488536410861545,)","(0.6510211520724827,)","(0.9628477864795261,)","(0.9665321244133843,)",,"(0.9202920171949598,)","(0.42666541205512154,)","(0.7229123221503364,)","(0.8012814415825738,)","(0.9667452971140543,)",,,,
6,"(0.34950167338053384,)",,,"(0.16008317735460065,)","(0.43331587049696174,)","(0.7339618682861329,)","(0.7709646224975586,)","(0.9082897610134548,)","(0.9384636349148221,)","(0.428194342719184,)","(0.9584753301408556,)","(0.848229365878635,)","(0.6006716834174262,)","(0.5821680704752604,)","(0.8237513648139105,)","(0.8730953746371799,)","(0.9261972851223416,)","(0.7889812469482422,)",,
7,"(0.3827015346950955,)","(0.30073462592230904,)","(0.19436798095703123,)","(0.8471376842922634,)",,"(0.8175836139255099,)","(0.7328644222683376,)","(0.9163312276204427,)","(0.9596462806065877,)","(0.9597826957702636,)","(0.8072172800699869,)","(0.8878972053527832,)","(0.7528318617078993,)","(0.08927205403645833,)","(0.40770284864637585,)","(0.9084759182400174,)","(0.24708150227864578,)",,,
8,"(0.2674031575520833,)",,,"(0.47340986463758683,)","(0.29087020026312926,)","(0.9199070241716173,)","(0.8989066865709093,)","(0.9529043144649929,)","(0.9937534968058268,)","(0.9963351117240058,)","(0.990309739112854,)","(0.9177738719516331,)","(0.766717529296875,)","(0.891588815053304,)","(0.8903506808810764,)","(0.8764256901211209,)","(0.8849603441026476,)","(0.3500959184434679,)",,
9,,,"(0.35390938652886283,)","(0.9211795806884766,)","(0.777893680996365,)","(0.14167514377170132,)","(0.971752479341295,)","(0.8952775107489692,)","(0.9656517399681939,)","(0.992526544464959,)","(0.9877031697167291,)","(0.9776947604285346,)","(0.8355693605211045,)","(0.9269721349080404,)","(0.3655003017849392,)","(0.5982325236002604,)",,"(0.16885969373914922,)","(0.5220342848036024,)","(0.6465355131361219,)"
10,,"(0.8965341250101725,)",,,"(0.8318344116210937,)","(0.16258748372395826,)","(0.9555171224806044,)","(0.9858744210667081,)","(0.9752727137671576,)","(0.9992246336407131,)","(0.997676346037123,)","(0.981530655754937,)","(0.8367597897847494,)","(0.8482325130038791,)","(0.6916780683729384,)","(0.5424947950575086,)","(0.05179316202799478,)","(0.389914067586263,)","(0.12201673719618056,)",
11,"(0.8687736723158095,)",,"(0.007281070285373281,)",,,"(0.9508823076883952,)","(0.9667918019824557,)","(0.8233004887898763,)","(0.9757117483350966,)","(0.9799879286024306,)","(0.9895802709791396,)","(0.9994515313042535,)","(0.785484356350369,)","(0.7866728676689996,)","(0.8760792838202582,)","(0.830006472269694,)","(0.6978746202256945,)","(0.9772381438149347,)","(0.6545686297946506,)",
12,,,,,,,,"(0.8737377378675673,)","(0.9494578149583605,)","(0.9360356595781114,)","(0.9631655004289416,)","(0.9654370678795708,)","(0.9218989054361979,)","(0.9950573749012417,)","(0.3943803999159071,)",,,,"(0.3389589097764757,)",
13,,"(0.10155241224500866,)",,,"(0.8821842299567328,)","(0.8007839626736111,)","(0.6837626775105794,)","(0.5305038028293185,)","(0.3047456529405381,)","(0.9795518636703491,)","(0.9232481532626682,)","(0.9236711714002821,)","(0.9967782017257478,)","(0.8230311181810167,)","(0.9890916095839606,)","(0.9886578334702386,)","(0.3730689154730903,)","(0.9877009471257527,)",,
