,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,[],[],"[(-9.922699, -7.882763)]",[],"[(-9.086353, -5.1888247)]",[],[],"[(-9.383021, -2.486171)]","[(-9.6703825, -1.539565)]",[],[],[],[],"[(-9.701182, 3.2572756)]",[],[],[],[],[],"[(-9.039124, 9.655067)]"
1,[],[],[],[],"[(-8.141452, -5.869213)]",[],"[(-8.669211, -3.1646197)]",[],"[(-8.386331, -1.3208622)]",[],[],"[(-8.341613, 1.4429867)]",[],[],[],[],"[(-8.638466, 6.8167415)]",[],[],[]
2,[],[],[],[],"[(-7.3172865, -5.353998)]","[(-7.2204437, -4.1736007)]","[(-7.5139847, -3.5893471)]","[(-7.304816, -2.24362)]","[(-7.7891216, -1.8849031)]","[(-7.2032866, -0.40610492)]","[(-7.35475, 0.70317984)]",[],"[(-7.081184, 2.952656)]","[(-7.25935, 3.3071609)]",[],"[(-7.67182, 5.8491235)]",[],[],[],[]
3,[],[],[],[],[],[],"[(-6.4142046, -3.2581556)]",[],"[(-6.361769, -1.7391735)]","[(-6.6898594, -0.6285752)]","[(-6.103719, 0.14554955)]",[],[],"[(-6.8124585, 3.0716164)]",[],[],"[(-6.348089, 6.8448534)]",[],[],[]
4,[],[],"[(-5.020262, -7.70287)]","[(-5.569582, -6.6049876)]",[],"[(-5.648448, -4.4705114)]","[(-5.993283, -3.6901913)]","[(-5.633411, -2.0714927)]","[(-5.1798606, -1.9294018)]","[(-5.5289173, -0.72890466)]","[(-5.979898, 0.63269484)]","[(-5.27957, 1.7994969)]","[(-5.2736835, 2.7367277)]","[(-5.945397, 3.0044508)]","[(-5.1707788, 4.279672)]","[(-5.003198, 5.9473395)]",[],[],"[(-5.8191876, 8.7759075)]",[]
5,[],[],[],[],"[(-4.2062025, -5.6616774)]","[(-4.1197615, -4.407128)]","[(-4.0899653, -3.5403042)]","[(-4.240295, -2.7403526)]",[],"[(-4.17656, -0.5073465)]","[(-4.255414, 0.23046964)]","[(-4.969125, 1.0401458)]","[(-4.785152, 2.4498425)]","[(-4.506456, 3.0582361)]","[(-4.6203094, 4.871524)]",[],"[(-4.4604287, 6.0781336)]",[],[],[]
6,[],[],[],[],[],"[(-3.56489, -4.059556)]","[(-3.8296134, -3.2107277)]","[(-3.8758304, -2.7190208)]","[(-3.5089753, -1.5486844)]","[(-3.190559, -0.5371254)]","[(-3.678198, 0.13704705)]","[(-3.6576655, 1.4413364)]","[(-3.2639556, 2.7685916)]","[(-3.9235358, 3.3298073)]","[(-3.6756587, 4.8901334)]","[(-3.1778417, 5.5657306)]","[(-3.0089583, 6.9542756)]",[],"[(-3.344289, 8.696384)]",[]
7,[],[],"[(-2.6283631, -7.594638)]","[(-2.2601523, -6.6780167)]",[],"[(-2.8112514, -4.899882)]","[(-2.2950397, -3.0228932)]","[(-2.1220212, -2.9456232)]","[(-2.5611424, -1.3734007)]","[(-2.6265519, -0.12776932)]","[(-2.0939646, 0.47018164)]","[(-2.3219762, 1.7007372)]","[(-2.1803763, 2.2576263)]","[(-2.241891, 3.9188464)]","[(-2.7222228, 4.8352175)]","[(-2.0812542, 5.1976686)]","[(-2.2380333, 6.2706704)]",[],"[(-2.9090028, 8.428443)]",[]
8,[],"[(-1.0547904, -8.654077)]","[(-1.3123858, -7.4701233)]","[(-1.4166346, -6.8464165)]","[(-1.2716866, -5.3666706)]","[(-1.4694477, -4.389874)]","[(-1.4319457, -3.973766)]","[(-1.3176404, -2.8176506)]","[(-1.2313312, -1.2798669)]","[(-1.7980224, -0.67210996)]","[(-1.1968789, 0.1451502)]","[(-1.3942592, 1.7837349)]","[(-1.2230777, 2.884191)]","[(-1.9258599, 3.124335)]","[(-1.8247111, 4.306174)]","[(-1.9273748, 5.973459)]","[(-1.9907857, 6.4261284)]","[(-1.1646726, 7.069732)]","[(-1.5940472, 8.472427)]",[]
9,[],"[(-0.66513145, -8.905458)]",[],"[(-0.90327966, -6.0914116)]","[(-0.40276235, -5.826701)]","[(-0.005289487, -4.4235616)]","[(-0.45435783, -3.6676881)]","[(-0.8846849, -2.1978557)]","[(-0.29108042, -1.128953)]","[(-0.06636896, -0.016838603)]","[(-0.13919324, 0.31943664)]","[(-0.7875869, 1.2997078)]","[(-0.6473336, 2.4094436)]","[(-0.15486975, 3.5090535)]","[(-0.4127717, 4.675405)]","[(-0.5022658, 5.3248076)]","[(-0.16758698, 6.9419303)]",[],"[(-0.83672154, 8.557911)]",[]
10,[],"[(0.04295499, -8.0103035)]","[(0.52371204, -7.471089)]",[],"[(0.49543515, -5.37418)]","[(0.19809212, -4.384649)]","[(0.6503187, -3.1262524)]","[(0.26054004, -2.4207528)]","[(0.055996798, -1.2365432)]","[(0.21535946, -0.31823528)]","[(0.008232127, 0.038727377)]","[(0.5723185, 1.602356)]","[(0.79038674, 2.0798144)]","[(0.6199309, 3.0193636)]","[(0.5136325, 4.124754)]","[(0.27869663, 5.9432416)]","[(0.7488458, 6.4099426)]","[(0.27439624, 7.7456784)]",[],[]
